strainID	sample	scaffold	mean	trimmed_mean	covered_fraction	covered_bases	variance	length	read_count	reads_per_base	bamname	FILTER
HAMBI_0105	SH-MET-131	HAMBI_0105_chrm02_linr	0.18814607	0.13171344	0.16852915	346924	0.19560693	2058540	3885	0.0018872599	HAMBI_0105-SH-MET-131	TRUE
HAMBI_0105	SH-MET-131	HAMBI_0105_plas01_circ	0.05957741	0.007987121	0.057162818	23483	0.060815517	410809	246	5.988184e-4	HAMBI_0105-SH-MET-131	TRUE
HAMBI_0105	SH-MET-132	HAMBI_0105_chrm01_circ	0.059808243	0.008275248	0.057444487	169726	0.06100504	2954609	1772	5.9974095e-4	HAMBI_0105-SH-MET-132	TRUE
HAMBI_0105	SH-MET-132	HAMBI_0105_chrm02_linr	0.093136385	0.042627685	0.0883704	181914	0.09438145	2058540	1922	9.336714e-4	HAMBI_0105-SH-MET-132	TRUE
HAMBI_0105	SH-MET-132	HAMBI_0105_plas01_circ	0.029552499	0	0.028755456	11813	0.030252304	410809	122	2.96975e-4	HAMBI_0105-SH-MET-132	TRUE
HAMBI_0105	SH-MET-133	HAMBI_0105_chrm01_circ	0.05887406	4.8439007e-4	0.05043307	149010	0.07332255	2954609	1874	6.3426327e-4	HAMBI_0105-SH-MET-133	TRUE
HAMBI_0105	SH-MET-133	HAMBI_0105_chrm02_linr	0.07569362	0.016813563	0.065159775	134134	0.09221649	2058540	1682	8.170839e-4	HAMBI_0105-SH-MET-133	TRUE
HAMBI_0105	SH-MET-133	HAMBI_0105_plas01_circ	0.037697945	0	0.031199414	12817	0.05034213	410809	169	4.113834e-4	HAMBI_0105-SH-MET-133	TRUE
HAMBI_0105	SH-MET-134	HAMBI_0105_chrm01_circ	0.033563845	0	0.032808065	96935	0.033945553	2954609	994	3.3642355e-4	HAMBI_0105-SH-MET-134	TRUE
HAMBI_0105	SH-MET-134	HAMBI_0105_chrm02_linr	0.04380608	0	0.041837905	86125	0.045983538	2058540	904	4.3914618e-4	HAMBI_0105-SH-MET-134	TRUE
HAMBI_0105	SH-MET-134	HAMBI_0105_plas01_circ	0.016558751	0	0.016552705	6800	0.016284598	410809	68	1.6552705e-4	HAMBI_0105-SH-MET-134	TRUE
HAMBI_0105	SH-MET-135	HAMBI_0105_chrm01_circ	0.018946616	0	0.018306313	54088	0.019886702	2954609	562	1.902113e-4	HAMBI_0105-SH-MET-135	TRUE
HAMBI_0105	SH-MET-135	HAMBI_0105_chrm02_linr	0.022833379	0	0.022488268	46293	0.022998972	2058540	470	2.2831716e-4	HAMBI_0105-SH-MET-135	TRUE
HAMBI_0105	SH-MET-135	HAMBI_0105_plas01_circ	0.011634957	0	0.011630709	4778	0.0114996135	410809	48	1.1684262e-4	HAMBI_0105-SH-MET-135	TRUE
HAMBI_0105	SH-MET-136	HAMBI_0105_chrm01_circ	0.018443309	0	0.0179374	52998	0.019113159	2954609	546	1.8479602e-4	HAMBI_0105-SH-MET-136	TRUE
HAMBI_0105	SH-MET-136	HAMBI_0105_chrm02_linr	0.026678132	0	0.025811983	53135	0.027777547	2058540	553	2.68637e-4	HAMBI_0105-SH-MET-136	TRUE
HAMBI_0105	SH-MET-136	HAMBI_0105_plas01_circ	0.00968687	0	0.008660959	3558	0.011882067	410809	40	9.736885e-5	HAMBI_0105-SH-MET-136	TRUE
HAMBI_0105	SH-MET-137	HAMBI_0105_chrm01_circ	0.025208676	0	0.02402213	70976	0.026991248	2954609	752	2.545176e-4	HAMBI_0105-SH-MET-137	TRUE
HAMBI_0105	SH-MET-137	HAMBI_0105_chrm02_linr	0.031187966	0	0.029928979	61610	0.03276486	2058540	657	3.1915825e-4	HAMBI_0105-SH-MET-137	TRUE
HAMBI_0105	SH-MET-137	HAMBI_0105_plas01_circ	0.011376835	0	0.011041627	4536	0.011909783	410809	48	1.1684262e-4	HAMBI_0105-SH-MET-137	TRUE
HAMBI_0105	SH-MET-138	HAMBI_0105_chrm01_circ	0.039099544	0	0.037191723	109887	0.04163244	2954609	1160	3.9260695e-4	HAMBI_0105-SH-MET-138	TRUE
HAMBI_0105	SH-MET-138	HAMBI_0105_chrm02_linr	0.05224763	0	0.049638093	102182	0.054768547	2058540	1082	5.2561524e-4	HAMBI_0105-SH-MET-138	TRUE
HAMBI_0105	SH-MET-138	HAMBI_0105_plas01_circ	0.0172211	0	0.01712718	7036	0.017099904	410809	72	1.7526394e-4	HAMBI_0105-SH-MET-138	TRUE
